Type	Name	Description	Attracts
Medium shrubs - three to five metres	Bottlebrush (Callistemon sp.)	Hardy, woody shrub that grows up to five metres that produces beautiful blooms in a variety of single colours in spring and summer and sometimes again in autumn. Plant in a moist, well-drained, sunny position. Regularly prune to encourage bushier growth and increased flower production. Bottlebrushes make excellent screening plants and are quick growers.	Birds, insects
Medium shrubs - three to five metres	Tea tree (Leptospermum sp.)	A bushy rounded shrub that grows to five metres. White flowers cover the shrub in spring. Prefers well drained soil in a sunny position. Ideal as a screen, hedge or windbreak.	Insects, bees
Medium shrubs - three to five metres	Lillypilly (Syzgium sp.)	Hardy evergreen plants to five metres with glossy, green leaves with fluffy, pom-pom, white flowers in spring and summer followed by red berries. Prefers a sunny position with well-drained soil. Lillypillies make excellent screens, windbreaks and hedges and can be pruned to size and shape.	Birds, bees, flying foxes
Medium shrubs - three to five metres	Purple pea bush (Hovea acutifolia)	A small to medium fast-growing shrub which is stunning in flower. Grows to four metres with masses of purple pea flowers from July to September. Best planted in a lightly shaded position in well-drained soil. Suitable as a windbreak, hedge or in a large pot or tub.	Birds, bees
Medium shrubs - three to five metres	Twiggy heath myrtle (Baekea virgata)	Very hardy, bushy erect shrub that grows to 3.5 metres. Profuse small white flowers occur in clusters in spring and summer. Prefers a lightly shaded position in well-drained soil. Great for hedges or tubs.	Birds
Medium shrubs - three to five metres	Brisbane wattle (Acacia fimbriata)	A fast growing bushy small tree growing to 5 metres square. Dense yellow perfumed ball-shaped flowers appear in late winter and spring. Good hedge or screening plant and can be pruned to shape. Plant in full sun to a partial shade position. Hardy in most situations.	Birds, butterflies, bees
Shade and feature trees - over five metres	Bangalow/piccabeen palm (Archontophoenix cunninghamiana)	Medium-tall, fast growing palm to 20+ metres. Lilac flowers followed by bright red fruits December to May. Suited to well composted soil with ample water and in a frost free area. This is a self-cleaning palm.	Birds
Shade and feature trees - over five metres	Blueberry ash (Elaeocarpus reticulatus)	Small, dense tree growing to eight metres. Masses of white or pink, small fringed, bell-shaped flowers are produced in summer. The flowers are followed by small blue fruits. Most soils are suitable and grow best in full sun to partial shade.	Birds
Shade and feature trees - over five metres	Bottlebrush (Callistemon sp.)	Fast growing, hardy tree with beautiful blooms in a variety of single colours in spring and summer. Plant in a moist, well-drained sunny position.	Bird, insects
Shade and feature trees - over five metres	Golden penda (Xanthostemon chrysanthus)	An attractive specimen tree up to eight metres. Showy, dense cluster of golden yellow flowers appear from summer to winter. Plant in full sun to part shade in well-drained soil. Suitable as a hedge, windbreak, screen, or feature tree.	Birds
Shade and feature trees - over five metres	Grevillea (Grevillea sp.)	Showy evergreen plants with nectar-rich 'spider flowers' in a variety of single colours. Plant in a sunny location with light, gritty, free-draining soil.	Birds, bees, butterflies
Shade and feature trees - over five metres	Ivory curl tree (Buckinghamia cellisima) -  seasonal	Fast-growing evergreen tree that grows to eight metres. Striking, long, creamy-fragranced flowers from spring until autumn. Prefers moist, well-drained soil in full sun to semi shade.	Birds, bees
Shade and feature trees - over five metres	Lemon scented myrtle (Backhousia citriodora)	Great small feature tree to five metres. White flowers from summer to autumn. Leaves are lemon scented. Prefers moist, well-drained soil in semi shade. Ideal for hedges or mixed shrub bed.	Birds, butterflies, bees
Shade and feature trees - over five metres	Lillypilly (Syzgium sp.)	Hardy, evergreen plants with glossy, green leaves with fluffy, pom-pom, white flowers in spring and summer followed by red berries. Prefers a sunny position with well-drained soil. Lillypillies make excellent screens, windbreaks and hedges and can be pruned to size and shape.	Birds, bees, flying foxes
Shade and feature trees - over five metres	Tulipwood (Harpulia pendula) - seasonal	A hardy, fast-growing, evergreen tree that grows up to 10 metres with attractive, pale green foliage. Large sprays of greenish-yellow, slightly fragrant flowers appear in summer followed by orange fruit. Requires open sunny position in a light to medium soil type. Excellent shade tree.	Birds, bees
Shade and feature trees - over five metres	Weeping lillypilly (Waterhousia floribunda)	Hardy, evergreen tree that grows to 8m². Clusters of white flowers appear from spring to summer, followed by green, round fruits. Plant in a sunny open position in well-drained soil. Regular trimming will produce colourful, new growth and keep the plant bushy. Can be trimmed to shape and size. Ideal as a dense screen or windbreak, or stunning as a large container plant.	Birds, bees
